date,corr_upstream,corr_downstream,corr_bidirectional,corr_unconnected
2017-06-16,-0.018332690000534058,0.019970066845417023,0.17663869261741638,-0.003775825724005699
2017-06-23,-0.017969364300370216,0.010719041340053082,0.17126448452472687,-0.005774265620857477
2017-06-30,-0.0191484522074461,0.009710213169455528,0.17149755358695984,-0.005416713189333677
2017-07-07,-0.026679912582039833,0.020141586661338806,0.14441177248954773,-0.00676540145650506
2017-07-14,-0.02514621615409851,0.022430643439292908,0.15778204798698425,-0.007775501348078251
2017-07-21,-0.00532531039789319,0.004169813822954893,0.15726616978645325,-0.009863583371043205
2017-07-28,-0.00454823300242424,0.0021099576260894537,0.1656554639339447,-0.009328235872089863
2017-08-04,-0.0038927914574742317,0.000955928408075124,0.1642032116651535,-0.008440189994871616
2017-08-11,0.002719572279602289,-0.0008103219443000853,0.16455882787704468,-0.00852361973375082
2017-08-18,-0.01461771409958601,0.008650263771414757,0.17302748560905457,-0.008062592707574368
2017-08-25,-0.016273990273475647,0.011396427638828754,0.17769256234169006,-0.008283301256597042
2017-09-01,-0.013618625700473785,0.01913459785282612,0.17051300406455994,-0.00690719997510314
2017-09-08,-0.009983547031879425,0.02382524497807026,0.17160984873771667,-0.007178173866122961
2017-09-15,-0.010936375707387924,0.024775171652436256,0.1731586903333664,-0.0071998583152890205
2017-09-22,-0.016234295442700386,0.023188287392258644,0.17468294501304626,-0.006247659679502249
2017-09-29,-0.02063646726310253,0.01400013081729412,0.15950903296470642,-0.004980860278010368
2017-10-06,-0.015006116591393948,0.022769344970583916,0.16282585263252258,-0.005576889496296644
2017-10-13,-0.018614230677485466,0.026937292888760567,0.16237773001194,-0.0046906182542443275
2017-10-20,-0.02344878949224949,0.020441321656107903,0.15043982863426208,-0.004889250732958317
2017-10-27,-0.011625750921666622,0.02200332283973694,0.14864221215248108,-0.0035055752377957106
2017-11-03,-0.00813992414623499,0.027298051863908768,0.1282966434955597,-0.00250286259688437
2017-11-10,-0.005710783880203962,0.02583347074687481,0.1226428970694542,-0.0008583523449487984
2017-11-17,-0.009852509014308453,0.022968050092458725,0.11723830550909042,-0.0019415263086557388
2017-11-24,-0.005123811773955822,0.025228161364793777,0.11561934649944305,-0.0017314665019512177
2017-12-01,-0.006662203464657068,0.032021716237068176,0.11200573295354843,0.00029878257191739976
2017-12-08,-0.0045029642060399055,0.034996189177036285,0.10603596270084381,0.0015570649411529303
2017-12-15,-0.006031635217368603,0.04315905645489693,0.09577054530382156,0.003536814823746681
2017-12-22,-0.011163066141307354,0.04617644101381302,0.09288302063941956,-0.0003009724896401167
2017-12-29,-0.010270440950989723,0.044709425419569016,0.08784298598766327,-5.263147613732144e-05
2018-01-05,-0.010263754054903984,0.04026855155825615,0.08073817193508148,0.0001112705358536914
2018-01-12,-0.01478856336325407,0.03990234434604645,0.0797836035490036,-9.762044646777213e-05
2018-01-19,-0.015207321383059025,0.03489874675869942,0.08087708055973053,-0.00037205920671112835
2018-01-26,-0.007713978178799152,0.024835072457790375,0.06923463195562363,0.0005901402910239995
2018-02-02,-0.008418242447078228,0.029323525726795197,0.05735583230853081,0.001082723494619131
2018-02-09,-0.006632243748754263,0.027064146474003792,0.053504955023527145,0.002305105561390519
2018-02-16,0.004436115268617868,0.03325459361076355,0.06858834624290466,0.0067118145525455475
2018-02-23,0.0039114938117563725,0.03528432548046112,0.07133857905864716,0.006547978147864342
2018-03-02,0.005427258554846048,0.038931045681238174,0.08853594958782196,0.005638275295495987
2018-03-09,0.004332305397838354,0.04389692842960358,0.08236236870288849,0.004717434290796518
2018-03-16,0.007779023144394159,0.03878294304013252,0.0806000754237175,0.0043041035532951355
2018-03-23,0.007030764129012823,0.03902091830968857,0.08069710433483124,0.004070898052304983
2018-03-30,0.012443100102245808,0.03752554580569267,0.06365568935871124,0.0013889404945075512
2018-04-06,0.016201021149754524,0.04801182448863983,0.07693220674991608,-0.0001376544387312606
2018-04-13,0.007710332982242107,0.05022989958524704,0.07472269982099533,-0.001817401498556137
2018-04-20,0.01238015666604042,0.05585417151451111,0.07318544387817383,-0.002733911620453
2018-04-27,0.014613988809287548,0.05602959543466568,0.06829152256250381,-0.00273347576148808
2018-05-04,0.0075399004854261875,0.057540860027074814,0.10399297624826431,-0.002837264211848378
2018-05-11,0.00027442342252470553,0.05885634571313858,0.0988345742225647,-0.0025937692262232304
2018-05-18,-0.0012357031228020787,0.07084793597459793,0.08571925014257431,-0.00230532162822783
2018-05-25,-0.005935182329267263,0.0739980936050415,0.091411292552948,-0.002537303837016225
2018-06-01,0.0016813669353723526,0.07269231975078583,0.09677650034427643,-0.0021470417268574238
2018-06-08,0.00017676905554253608,0.07362152636051178,0.09660659730434418,-0.0012435631360858679
2018-06-15,0.002530075376853347,0.07354716211557388,0.09281294792890549,-0.0019254324724897742
2018-06-22,0.0011702596675604582,0.07563363015651703,0.09109536558389664,-0.002341268816962838
2018-06-29,-0.00047916354378685355,0.07655912637710571,0.08802858740091324,-0.0025107627734541893
2018-07-06,-0.004345830529928207,0.08721867203712463,0.09022442251443863,-0.00204861699603498
2018-07-13,-0.0044649080373346806,0.09161999076604843,0.0735526829957962,-0.001381051610223949
2018-07-20,0.003041974501684308,0.09677254408597946,0.1010683923959732,0.00018027913756668568
2018-07-27,-0.004466349259018898,0.09482909739017487,0.1167953759431839,0.000532780191861093
2018-08-03,-0.003995487466454506,0.09756678342819214,0.10853683948516846,0.0012707087444141507
2018-08-10,-0.008762025274336338,0.10126249492168427,0.10923624038696289,0.0004881535714957863
2018-08-17,-0.007120007649064064,0.10198857635259628,0.0997275561094284,0.00021770645980723202
2018-08-24,-0.007835814729332924,0.0997793897986412,0.09956451505422592,0.0008111768984235823
2018-08-31,-0.006121545098721981,0.09720441699028015,0.10159957408905029,-0.0006115392898209393
2018-09-07,-0.006984011735767126,0.09629272669553757,0.10560890287160873,-0.0006490284577012062
2018-09-14,-0.0042632268741726875,0.09750059247016907,0.11435957998037338,-0.0006565871881321073
2018-09-21,-0.006585603579878807,0.09446132183074951,0.1150612011551857,-0.001149486401118338
2018-09-28,-0.004874346312135458,0.09570442885160446,0.10984034836292267,-0.001961022848263383
2018-10-05,-0.0030874384101480246,0.10438549518585205,0.10231243073940277,-0.0016746686305850744
2018-10-12,-0.0015341568505391479,0.09619913250207901,0.09971366077661514,-0.003681244794279337
2018-10-19,-0.004540240857750177,0.09920953959226608,0.10229162871837616,-0.002990543842315674
2018-10-26,0.00555539270862937,0.09111929684877396,0.08620722591876984,-0.0029455581679940224
2018-11-02,-0.005917128641158342,0.09232184290885925,0.0922449380159378,-0.0029907654970884323
2018-11-09,-0.018902070820331573,0.05397304892539978,0.09564708173274994,0.00015041015285532922
2018-11-16,-0.02296512760221958,0.05680464953184128,0.09326659142971039,0.0033158008009195328
2018-11-23,-0.007041946519166231,0.05309762805700302,0.0692751333117485,0.0066964332945644855
2018-11-30,-0.002683347323909402,0.06062270328402519,0.04938492923974991,0.0063862972892820835
2018-12-07,-0.0007460388005711138,0.06088727340102196,0.03676711767911911,0.0060393656603991985
2018-12-14,0.012203941121697426,0.06144438683986664,0.022764284163713455,0.006208366248756647
