n_his,gcn_h,att_h,ff_h,dropout,lr,wd,att_heads,val_rmse,elapsed_s
8,64,128,256,0.3,0.001,0.0001,2,1.239317,10.8
8,64,128,256,0.3,0.001,0.0001,4,1.178651,9.5
8,64,128,256,0.3,0.001,0.001,2,1.266933,8.4
8,64,128,256,0.3,0.001,0.001,4,1.192929,7.3
8,64,128,256,0.3,0.0005,0.0001,2,1.187122,8.1
8,64,128,256,0.3,0.0005,0.0001,4,1.201187,10.1
8,64,128,256,0.3,0.0005,0.001,2,1.174144,8.0
8,64,128,256,0.3,0.0005,0.001,4,1.174634,10.3
8,64,128,256,0.3,0.0001,0.0001,2,1.139637,9.5
8,64,128,256,0.3,0.0001,0.0001,4,1.145607,13.7
8,64,128,256,0.3,0.0001,0.001,2,1.144899,11.8
8,64,128,256,0.3,0.0001,0.001,4,1.142401,10.1
8,128,64,128,0.1,0.001,0.0001,2,1.246686,7.5
8,128,64,128,0.1,0.001,0.0001,4,1.291469,6.8
8,128,64,128,0.1,0.001,0.001,2,1.176539,5.9
8,128,64,128,0.1,0.001,0.001,4,1.227954,8.2
8,128,64,128,0.1,0.0005,0.0001,2,1.191049,6.7
8,128,64,128,0.1,0.0005,0.0001,4,1.168692,9.8
8,128,64,128,0.1,0.0005,0.001,2,1.181746,10.0
8,128,64,128,0.1,0.0005,0.001,4,1.159417,10.0
8,128,64,128,0.1,0.0001,0.0001,2,1.138671,6.7
8,128,64,128,0.1,0.0001,0.0001,4,1.14109,6.0
8,128,64,128,0.1,0.0001,0.001,2,1.137171,6.3
8,128,64,128,0.1,0.0001,0.001,4,1.149928,8.0
8,128,64,128,0.2,0.001,0.0001,2,1.200972,4.6
8,128,64,128,0.2,0.001,0.0001,4,1.218045,5.5
8,128,64,128,0.2,0.001,0.001,2,1.265565,6.6
8,128,64,128,0.2,0.001,0.001,4,1.204509,6.6
8,128,64,128,0.2,0.0005,0.0001,2,1.176365,9.0
8,128,64,128,0.2,0.0005,0.0001,4,1.193736,10.8
8,128,64,128,0.2,0.0005,0.001,2,1.184533,9.4
8,128,64,128,0.2,0.0005,0.001,4,1.204733,10.7
8,128,64,128,0.2,0.0001,0.0001,2,1.149969,16.2
8,128,64,128,0.2,0.0001,0.0001,4,1.144401,14.2
8,128,64,128,0.2,0.0001,0.001,2,1.154635,15.0
8,128,64,128,0.2,0.0001,0.001,4,1.14688,14.5
8,128,64,128,0.3,0.001,0.0001,2,1.205572,6.0
8,128,64,128,0.3,0.001,0.0001,4,1.190404,13.6
8,128,64,128,0.3,0.001,0.001,2,1.285347,11.2
8,128,64,128,0.3,0.001,0.001,4,1.199677,9.3
8,128,64,128,0.3,0.0005,0.0001,2,1.178831,5.9
8,128,64,128,0.3,0.0005,0.0001,4,1.203654,6.2
8,128,64,128,0.3,0.0005,0.001,2,1.163523,6.0
8,128,64,128,0.3,0.0005,0.001,4,1.171733,6.2
8,128,64,128,0.3,0.0001,0.0001,2,1.137573,10.8
8,128,64,128,0.3,0.0001,0.0001,4,1.145215,17.8
8,128,64,128,0.3,0.0001,0.001,2,1.147749,15.1
8,128,64,128,0.3,0.0001,0.001,4,1.143931,17.3
8,128,64,256,0.1,0.001,0.0001,2,1.176282,14.2
8,128,64,256,0.1,0.001,0.0001,4,1.192767,16.6
8,128,64,256,0.1,0.001,0.001,2,1.168825,15.7
8,128,64,256,0.1,0.001,0.001,4,1.175404,15.8
8,128,64,256,0.1,0.0005,0.0001,2,1.188397,9.6
8,128,64,256,0.1,0.0005,0.0001,4,1.238158,14.5
8,128,64,256,0.1,0.0005,0.001,2,1.182664,11.7
8,128,64,256,0.1,0.0005,0.001,4,1.218127,13.7
8,128,64,256,0.1,0.0001,0.0001,2,1.147883,19.9
8,128,64,256,0.1,0.0001,0.0001,4,1.140019,9.9
8,128,64,256,0.1,0.0001,0.001,2,1.147294,7.0
8,128,64,256,0.1,0.0001,0.001,4,1.144939,10.0
8,128,64,256,0.2,0.001,0.0001,2,1.220452,5.6
8,128,64,256,0.2,0.001,0.0001,4,1.218081,9.5
8,128,64,256,0.2,0.001,0.001,2,1.184822,10.8
8,128,64,256,0.2,0.001,0.001,4,1.202041,8.1
8,128,64,256,0.2,0.0005,0.0001,2,1.190209,7.5
8,128,64,256,0.2,0.0005,0.0001,4,1.189558,10.8
8,128,64,256,0.2,0.0005,0.001,2,1.175504,9.5
8,128,64,256,0.2,0.0005,0.001,4,1.189691,10.9
8,128,64,256,0.2,0.0001,0.0001,2,1.141655,6.5
8,128,64,256,0.2,0.0001,0.0001,4,1.150639,14.4
8,128,64,256,0.2,0.0001,0.001,2,1.14067,8.8
8,128,64,256,0.2,0.0001,0.001,4,1.144012,18.8
8,128,64,256,0.3,0.001,0.0001,2,1.249183,7.0
8,128,64,256,0.3,0.001,0.0001,4,1.193718,8.2
8,128,64,256,0.3,0.001,0.001,2,1.240233,8.0
8,128,64,256,0.3,0.001,0.001,4,1.187254,10.5
8,128,64,256,0.3,0.0005,0.0001,2,1.164621,9.8
8,128,64,256,0.3,0.0005,0.0001,4,1.217166,9.0
8,128,64,256,0.3,0.0005,0.001,2,1.163189,8.7
8,128,64,256,0.3,0.0005,0.001,4,1.212202,8.6
8,128,64,256,0.3,0.0001,0.0001,2,1.140362,18.9
8,128,64,256,0.3,0.0001,0.0001,4,1.148225,18.2
8,128,64,256,0.3,0.0001,0.001,2,1.147786,11.1
8,128,64,256,0.3,0.0001,0.001,4,1.135495,10.9
8,128,128,128,0.1,0.001,0.0001,2,1.235198,10.6
8,128,128,128,0.1,0.001,0.0001,4,1.198536,11.0
8,128,128,128,0.1,0.001,0.001,2,1.169335,10.6
8,128,128,128,0.1,0.001,0.001,4,1.198483,10.3
8,128,128,128,0.1,0.0005,0.0001,2,1.21556,10.8
8,128,128,128,0.1,0.0005,0.0001,4,1.223848,10.4
8,128,128,128,0.1,0.0005,0.001,2,1.17336,7.8
8,128,128,128,0.1,0.0005,0.001,4,1.141684,11.1
8,128,128,128,0.1,0.0001,0.0001,2,1.142767,6.7
8,128,128,128,0.1,0.0001,0.0001,4,1.156513,8.3
8,128,128,128,0.1,0.0001,0.001,2,1.153013,6.9
8,128,128,128,0.1,0.0001,0.001,4,1.142787,6.8
8,128,128,128,0.2,0.001,0.0001,2,1.228903,9.1
8,128,128,128,0.2,0.001,0.0001,4,1.187131,11.6
8,128,128,128,0.2,0.001,0.001,2,1.15366,11.1
8,128,128,128,0.2,0.001,0.001,4,1.224466,11.5
8,128,128,128,0.2,0.0005,0.0001,2,1.15554,7.8
8,128,128,128,0.2,0.0005,0.0001,4,1.198614,6.7
8,128,128,128,0.2,0.0005,0.001,2,1.200338,7.5
8,128,128,128,0.2,0.0005,0.001,4,1.177889,7.4
8,128,128,128,0.2,0.0001,0.0001,2,1.155239,6.4
8,128,128,128,0.2,0.0001,0.0001,4,1.139213,6.2
8,128,128,128,0.2,0.0001,0.001,2,1.145269,5.9
8,128,128,128,0.2,0.0001,0.001,4,1.153364,8.4
8,128,128,128,0.3,0.001,0.0001,2,1.193501,5.3
8,128,128,128,0.3,0.001,0.0001,4,1.221581,6.4
8,128,128,128,0.3,0.001,0.001,2,1.222367,8.2
8,128,128,128,0.3,0.001,0.001,4,1.176953,11.9
8,128,128,128,0.3,0.0005,0.0001,2,1.188739,14.1
8,128,128,128,0.3,0.0005,0.0001,4,1.193115,6.7
8,128,128,128,0.3,0.0005,0.001,2,1.195051,6.2
8,128,128,128,0.3,0.0005,0.001,4,1.192784,5.6
8,128,128,128,0.3,0.0001,0.0001,2,1.141695,7.0
8,128,128,128,0.3,0.0001,0.0001,4,1.150154,7.8
8,128,128,128,0.3,0.0001,0.001,2,1.150101,7.1
8,128,128,128,0.3,0.0001,0.001,4,1.151359,7.4
8,128,128,256,0.1,0.001,0.0001,2,1.181304,5.6
8,128,128,256,0.1,0.001,0.0001,4,1.302044,5.9
8,128,128,256,0.1,0.001,0.001,2,1.220271,6.1
8,128,128,256,0.1,0.001,0.001,4,1.174664,6.4
8,128,128,256,0.1,0.0005,0.0001,2,1.168565,5.8
8,128,128,256,0.1,0.0005,0.0001,4,1.202406,6.0
8,128,128,256,0.1,0.0005,0.001,2,1.2167,6.6
8,128,128,256,0.1,0.0005,0.001,4,1.174958,6.5
8,128,128,256,0.1,0.0001,0.0001,2,1.159203,9.8
8,128,128,256,0.1,0.0001,0.0001,4,1.15755,9.0
