fold,model,week,pnl
1,V-STGCN,26,394.7299575805664
1,V-STGCN,27,1.1700439453125044
1,V-STGCN,28,-226.68994903564453
1,V-STGCN,29,-679.4100189208984
1,SC-STGCN,0,-85.12998580932619
1,SC-STGCN,1,-26.490001678466797
1,SC-STGCN,2,-80.62009811401367
1,SC-STGCN,3,-356.94982528686523
1,SC-STGCN,4,268.8400077819824
1,SC-STGCN,5,363.0500030517578
1,SC-STGCN,6,212.54022598266604
1,SC-STGCN,7,163.2600212097168
1,SC-STGCN,8,277.49004364013666
1,SC-STGCN,9,-34.19984817504884
1,SC-STGCN,10,-30.90036392211914
1,SC-STGCN,11,-168.44003677368164
1,SC-STGCN,12,-589.3600273132324
1,SC-STGCN,13,-56.9400978088379
1,SC-STGCN,14,456.97994232177746
1,SC-STGCN,15,178.90005111694336
1,SC-STGCN,16,-221.34998321533206
1,SC-STGCN,17,253.5100936889649
1,SC-STGCN,18,12.299880981445309
1,SC-STGCN,19,-28.459892272949205
1,SC-STGCN,20,276.4699172973633
1,SC-STGCN,21,-106.88007354736331
1,SC-STGCN,22,-564.1198921203614
1,SC-STGCN,23,195.37996292114258
1,SC-STGCN,24,-14.390239715576191
1,SC-STGCN,25,-3.200035095214857
1,SC-STGCN,26,333.71995925903326
1,SC-STGCN,27,234.89004135131836
1,SC-STGCN,28,129.2501258850098
1,SC-STGCN,29,919.5203018188478
2,AR(1),0,-109.34450149536134
2,AR(1),1,-37.84324645996094
2,AR(1),2,51.55622482299804
2,AR(1),3,369.48469161987305
2,AR(1),4,204.94054794311526
2,AR(1),5,-20.192794799804688
2,AR(1),6,100.25543212890624
2,AR(1),7,92.17176437377931
2,AR(1),8,158.94239425659183
2,AR(1),9,140.79364776611328
2,AR(1),10,143.9611434936524
2,AR(1),11,201.36880874633795
2,AR(1),12,78.15902709960938
2,AR(1),13,322.3172569274903
2,LSTM,0,56.67081832885743
2,LSTM,1,-49.3893814086914
2,LSTM,2,384.5970344543457
2,LSTM,3,156.46714210510254
2,LSTM,4,115.321102142334
2,LSTM,5,-43.02366256713868
2,LSTM,6,16.10048294067382
2,LSTM,7,97.99325942993164
2,LSTM,8,118.7051773071289
2,LSTM,9,-336.44216537475586
2,LSTM,10,117.98351287841797
2,LSTM,11,195.03440856933597
2,LSTM,12,65.50653457641603
2,LSTM,13,857.1142196655276
2,XGBoost,0,-134.4244384765625
2,XGBoost,1,148.84607315063477
2,XGBoost,2,-85.2873420715332
2,XGBoost,3,251.44914627075195
2,XGBoost,4,-197.41256713867188
2,XGBoost,5,-21.114368438720703
2,XGBoost,6,-68.80691528320314
2,XGBoost,7,-99.90144729614258
2,XGBoost,8,53.56637954711915
2,XGBoost,9,-22.931480407714822
2,XGBoost,10,62.18469619750977
2,XGBoost,11,160.11541366577148
2,XGBoost,12,-123.73645782470703
2,XGBoost,13,1167.7137756347656
2,Informer,0,-35.174522399902344
2,Informer,1,-39.435901641845696
2,Informer,2,-270.3459358215332
2,Informer,3,-173.10411453247073
2,Informer,4,78.80887985229492
2,Informer,5,10.88817596435547
2,Informer,6,323.26061248779297
2,Informer,7,-174.49945449829102
2,Informer,8,86.47937774658205
2,Informer,9,-17.71564483642577
2,Informer,10,-117.45586395263672
2,Informer,11,31.47520065307617
2,Informer,12,-119.35926437377931
2,Informer,13,702.3418807983398
2,Autoformer,0,-26.62229537963869
2,Autoformer,1,8.87529373168946
2,Autoformer,2,-346.0459709167481
2,Autoformer,3,264.44950103759766
2,Autoformer,4,-0.7050895690917991
2,Autoformer,5,-7.637062072753903
2,Autoformer,6,14.062519073486355
2,Autoformer,7,-68.11889648437501
2,Autoformer,8,-28.57610702514649
2,Autoformer,9,-66.06882095336914
2,Autoformer,10,78.26690673828125
2,Autoformer,11,73.34873199462892
2,Autoformer,12,-43.25300216674804
2,Autoformer,13,154.1638946533203
2,TimesNet,0,85.51981925964355
2,TimesNet,1,-54.7335433959961
2,TimesNet,2,103.62880706787112
2,TimesNet,3,270.35918235778814
2,TimesNet,4,21.0704231262207
2,TimesNet,5,79.32622909545898
2,TimesNet,6,-43.6431884765625
2,TimesNet,7,-15.719099044799789
2,TimesNet,8,-28.34070205688478
2,TimesNet,9,-30.15667915344237
2,TimesNet,10,155.69849967956543
2,TimesNet,11,100.74921607971193
2,TimesNet,12,6.242351531982412
2,TimesNet,13,321.9375801086426
2,V-STGCN,0,-38.619041442871094
2,V-STGCN,1,31.668663024902344
2,V-STGCN,2,277.8559684753418
2,V-STGCN,3,169.56660270690915
2,V-STGCN,4,109.33721542358401
2,V-STGCN,5,12.215213775634773
2,V-STGCN,6,99.62602615356444
2,V-STGCN,7,110.05516052246097
2,V-STGCN,8,79.03524398803712
2,V-STGCN,9,-114.53542709350586
2,V-STGCN,10,-11.942710876464826
2,V-STGCN,11,168.30523490905765
2,V-STGCN,12,-11.564693450927734
2,V-STGCN,13,518.0154800415039
2,SC-STGCN,0,12.048759460449228
2,SC-STGCN,1,-68.36065292358398
2,SC-STGCN,2,307.21729278564453
2,SC-STGCN,3,405.7887840270996
2,SC-STGCN,4,178.4282493591309
2,SC-STGCN,5,75.18192291259767
2,SC-STGCN,6,200.15535354614258
2,SC-STGCN,7,156.90992355346683
2,SC-STGCN,8,73.05797576904298
2,SC-STGCN,9,-302.47873306274414
2,SC-STGCN,10,-42.709407806396484
2,SC-STGCN,11,142.37977981567386
2,SC-STGCN,12,96.62513732910159
2,SC-STGCN,13,1287.9150390625002
