ticker_i,ticker_j,corr,pvalue,rel_type
AMZN,NEE,0.02887171320617199,0.5908918380737305,unconnected
AMZN,T,-0.0006067175418138504,0.9909881949424744,upstream
AMZN,BA,-0.14746762812137604,0.005777574609965086,unconnected
AMZN,TJX,0.009965375065803528,0.8528320789337158,unconnected
AMZN,GILD,-0.015827547758817673,0.7682685256004333,unconnected
AMZN,ABT,0.00891124177724123,0.8682498335838318,unconnected
AMZN,SCHW,-0.02454933151602745,0.6476397514343262,unconnected
AMZN,DE,0.02500688098371029,0.641527533531189,unconnected
AMZN,ETN,0.0001736099657136947,0.9974220991134644,unconnected
AMZN,PFE,0.041912175714969635,0.4350857436656952,unconnected
AMZN,UNP,0.06786540150642395,0.2059645801782608,unconnected
AMZN,WELL,-0.019697681069374084,0.7138441801071167,unconnected
AMZN,HON,0.017493506893515587,0.7446832656860352,unconnected
WMT,JPM,-0.09081988781690598,0.09025193750858307,unconnected
WMT,LLY,0.12692344188690186,0.017681539058685303,unconnected
WMT,XOM,-0.0919659435749054,0.08624652028083801,unconnected
WMT,JNJ,0.44782164692878723,1.2893428610010787e-18,unconnected
WMT,ORCL,0.007475247140973806,0.8893314003944397,upstream
WMT,COST,0.16448691487312317,0.0020501541439443827,unconnected
WMT,NFLX,-0.241710364818573,4.9422965275880415e-06,unconnected
WMT,BAC,-0.051561497151851654,0.3368382751941681,unconnected
WMT,ABBV,0.06074484437704086,0.2577259838581085,unconnected
WMT,CAT,0.3895796239376068,4.27639863895702e-14,downstream
WMT,CVX,-0.17587611079216003,0.0009682049858383834,unconnected
WMT,HD,0.5511434674263,4.0380732402724126e-29,unconnected
WMT,INTC,0.014827466569840908,0.7825313210487366,unconnected
WMT,PG,0.49839654564857483,2.594157569450081e-23,unconnected
WMT,CSCO,0.3488883078098297,1.9965572597979708e-11,unconnected
WMT,KO,0.1412399709224701,0.0082327201962471,unconnected
WMT,GE,-0.3562585413455963,6.988523041512318e-12,upstream
WMT,AMAT,0.011245131492614746,0.8341911435127258,unconnected
WMT,MS,-0.038624994456768036,0.47198423743247986,unconnected
WMT,UNH,0.5217894315719604,9.186387546697328e-26,unconnected
WMT,MRK,0.022089188918471336,0.6809032559394836,upstream
WMT,GS,-0.05553194880485535,0.30090266466140747,unconnected
WMT,RTX,0.14427223801612854,0.00694029126316309,unconnected
WMT,WFC,-0.13049060106277466,0.014709311537444592,unconnected
WMT,PM,0.13586921989917755,0.011055664159357548,unconnected
WMT,IBM,0.28100475668907166,9.360402941638313e-08,unconnected
WMT,AXP,0.24736282229423523,2.9049278964521363e-06,unconnected
WMT,C,-0.11322446167469025,0.03447910025715828,unconnected
WMT,MCD,0.402818500995636,4.779272020049826e-15,unconnected
WMT,PEP,0.19000394642353058,0.00035779690369963646,upstream
WMT,TXN,0.014969260431826115,0.7805052399635315,unconnected
WMT,VZ,-0.07226932793855667,0.17797358334064484,unconnected
WMT,AMGN,0.509262204170227,1.9911369895975784e-24,unconnected
WMT,NEE,-0.0013746438780799508,0.9795863032341003,unconnected
