ticker_i,ticker_j,corr,pvalue,n_obs,rel_type
PG,ETN,0.10711435973644257,0.04553937166929245,349,unconnected
PG,PFE,0.7802088856697083,0.0,349,unconnected
PG,UNP,0.7920764088630676,0.0,349,unconnected
PG,WELL,0.229364812374115,1.5091873137862422e-05,349,unconnected
PG,HON,0.7869477868080139,0.0,349,unconnected
CSCO,KO,0.424241304397583,1.1138614281803078e-16,349,unconnected
CSCO,GE,0.38476571440696716,9.261795703204706e-14,349,unconnected
CSCO,AMAT,0.08463187515735626,0.11451617628335953,349,unconnected
CSCO,MS,0.5212148427963257,1.0608150323581993e-25,349,unconnected
CSCO,UNH,0.6725189089775085,0.0,349,unconnected
CSCO,MRK,0.19355355203151703,0.0002754451707005501,349,unconnected
CSCO,GS,0.5083020925521851,2.507437577379547e-24,349,unconnected
CSCO,RTX,0.24714680016040802,2.9652273951796815e-06,349,unconnected
CSCO,WFC,0.5310875773429871,8.611916694728033e-27,349,downstream
CSCO,PM,0.3542884588241577,9.276974154148743e-12,349,unconnected
CSCO,IBM,0.6049963235855103,3.218280616233796e-36,349,bidirectional
CSCO,AXP,0.4876611828804016,2.999736614580841e-22,349,unconnected
CSCO,C,0.5178550481796265,2.4473529511534504e-25,349,unconnected
CSCO,MCD,0.4513704180717468,6.392389218275974e-19,349,unconnected
CSCO,PEP,0.2826725244522095,7.797206080795149e-08,349,downstream
CSCO,TXN,0.18418510258197784,0.0005438993684947491,349,unconnected
CSCO,VZ,0.4158148765563965,5.045837735473727e-16,349,bidirectional
CSCO,AMGN,0.5779383182525635,1.7317130045028513e-32,349,unconnected
CSCO,NEE,0.11960626393556595,0.025454143062233925,349,unconnected
CSCO,T,0.2636698782444,5.829397764500754e-07,349,unconnected
CSCO,BA,0.21699486672878265,4.3497893784660846e-05,349,downstream
CSCO,TJX,0.3849117159843445,9.04888075819836e-14,349,unconnected
CSCO,GILD,0.18772925436496735,0.00042206572834402323,349,unconnected
CSCO,ABT,0.2902591824531555,3.344511867453548e-08,349,unconnected
CSCO,SCHW,0.2148786038160324,5.1826005801558495e-05,349,unconnected
CSCO,DE,0.5800520181655884,9.109178292274503e-33,349,unconnected
CSCO,ETN,0.16902539134025574,0.0015288044232875109,349,unconnected
CSCO,PFE,0.5915190577507019,2.5695980492963844e-34,349,unconnected
CSCO,UNP,0.7129106521606445,0.0,349,unconnected
CSCO,WELL,0.20779629051685333,9.199089254252613e-05,349,unconnected
CSCO,HON,0.6837878227233887,0.0,349,unconnected
KO,GE,0.2860935926437378,5.339731146136728e-08,349,unconnected
KO,AMAT,0.03487039729952812,0.5161489844322205,349,unconnected
KO,MS,0.4274105429649353,6.24118293908651e-17,349,unconnected
KO,UNH,0.3918294310569763,2.967094072606896e-14,349,unconnected
KO,MRK,0.23291851580142975,1.1012276445399038e-05,349,unconnected
KO,GS,0.40530839562416077,3.130191833611664e-15,349,unconnected
KO,RTX,0.19372676312923431,0.00027191927074454725,349,unconnected
KO,WFC,0.3997561037540436,8.003991248267412e-15,349,unconnected
KO,PM,0.4003984332084656,7.186525680102918e-15,349,unconnected
KO,IBM,0.43666332960128784,1.1105171865945926e-17,349,unconnected
KO,AXP,0.44164150953292847,4.291011421737713e-18,349,unconnected
KO,C,0.43070361018180847,3.3967582901893944e-17,349,unconnected
KO,MCD,0.39674144983291626,1.3228752200112638e-14,349,unconnected
KO,PEP,0.4440697133541107,2.6832152952395647e-18,349,unconnected
KO,TXN,0.25060996413230896,2.1282121451804414e-06,349,unconnected
KO,VZ,0.3120768964290619,2.543617094730166e-09,349,unconnected
KO,AMGN,0.3639202415943146,2.2792974105345642e-12,349,unconnected
KO,NEE,0.22508716583251953,2.19100656977389e-05,349,unconnected
KO,T,0.2751987874507904,1.7519005268695764e-07,349,unconnected
KO,BA,0.27989572286605835,1.0562720120788072e-07,349,unconnected
KO,TJX,0.3285043239593506,3.1670413513928963e-10,349,unconnected
KO,GILD,0.16815657913684845,0.0016180487582460046,349,unconnected
KO,ABT,0.3418874442577362,5.2778465625680226e-11,349,unconnected
KO,SCHW,0.13542774319648743,0.011322012171149254,349,unconnected
KO,DE,0.450746089220047,7.236592173859577e-19,349,unconnected
KO,ETN,0.13965246081352234,0.008991489186882973,349,unconnected
KO,PFE,0.34934356808662415,1.8726778808209055e-11,349,unconnected
KO,UNP,0.4112703502178192,1.1199617859362129e-15,349,unconnected
KO,WELL,0.21489718556404114,5.174667603569105e-05,349,unconnected
KO,HON,0.39321672916412354,2.3650677770381545e-14,349,unconnected
GE,AMAT,0.07420598715543747,0.16659843921661377,349,unconnected
GE,MS,0.6863465309143066,0.0,349,unconnected
GE,UNH,0.297320157289505,1.4871134546012854e-08,349,unconnected
GE,MRK,0.27086374163627625,2.771329832285119e-07,349,unconnected
GE,GS,0.7116961479187012,0.0,349,upstream
GE,RTX,0.07577866315841675,0.15776853263378143,349,unconnected
GE,WFC,0.7576332092285156,0.0,349,unconnected
GE,PM,0.22450228035449982,2.3042915927362628e-05,349,unconnected
GE,IBM,0.4542054831981659,3.6280862864672363e-19,349,unconnected
GE,AXP,0.4856870174407959,4.661486878905048e-22,349,upstream
GE,C,0.709182620048523,0.0,349,unconnected
GE,MCD,0.4151104688644409,5.714136672341121e-16,349,unconnected
GE,PEP,0.1738540232181549,0.0011098984396085143,349,unconnected
GE,TXN,0.12792189419269562,0.01680087298154831,349,unconnected
GE,VZ,0.6482076644897461,5.633219826585765e-43,349,upstream
GE,AMGN,0.31914764642715454,1.053680254159417e-09,349,unconnected
GE,NEE,0.08287276327610016,0.12227476388216019,349,unconnected
GE,T,0.653651237487793,6.726232628759122e-44,349,unconnected
GE,BA,0.7953413724899292,0.0,349,bidirectional
GE,TJX,0.3399183750152588,6.907428795610571e-11,349,unconnected
GE,GILD,0.4313752055168152,2.9979543336706334e-17,349,unconnected
GE,ABT,0.2781813442707062,1.2719134190319892e-07,349,unconnected
GE,SCHW,0.12818899750709534,0.016571952030062675,349,unconnected
GE,DE,0.3965020179748535,1.3764182901895763e-14,349,unconnected
GE,ETN,0.199266716837883,0.00017903526895679533,349,unconnected
GE,PFE,0.3374941349029541,9.595346739388333e-11,349,unconnected
GE,UNP,0.4065990149974823,2.510120729299443e-15,349,unconnected
GE,WELL,0.20278669893741608,0.00013646857405547053,349,unconnected
GE,HON,0.5080711245536804,2.6501111579130454e-24,349,unconnected
AMAT,MS,0.15088516473770142,0.004730369430035353,349,unconnected
AMAT,UNH,0.12135081738233566,0.02337365224957466,349,unconnected
AMAT,MRK,-0.04098302870988846,0.4453434646129608,349,unconnected
AMAT,GS,0.13570034503936768,0.011156896129250526,349,unconnected
AMAT,RTX,0.08837897330522537,0.09927880764007568,349,unconnected
AMAT,WFC,0.13635770976543427,0.010767524130642414,349,unconnected
AMAT,PM,0.025140458717942238,0.6397484540939331,349,unconnected
AMAT,IBM,0.12037062644958496,0.024523697793483734,349,upstream
AMAT,AXP,0.18286879360675812,0.0005969233461655676,349,unconnected
AMAT,C,0.13388878107070923,0.012295220047235489,349,unconnected
AMAT,MCD,0.15906526148319244,0.002883254550397396,349,unconnected
AMAT,PEP,0.03956473618745804,0.46126407384872437,349,unconnected
AMAT,TXN,0.14705634117126465,0.00591670535504818,349,unconnected
AMAT,VZ,0.1659025251865387,0.001872312044724822,349,unconnected
AMAT,AMGN,0.11166669428348541,0.03705594316124916,349,unconnected
AMAT,NEE,0.11731680482625961,0.02842509187757969,349,unconnected
AMAT,T,0.11677815765142441,0.02916589193046093,349,unconnected
AMAT,BA,0.08556161820888519,0.11057455092668533,349,unconnected
AMAT,TJX,0.07887692004442215,0.1414131224155426,349,unconnected
AMAT,GILD,0.07081573456525803,0.1868826001882553,349,unconnected
AMAT,ABT,0.14406850934028625,0.0070210713893175125,349,unconnected
AMAT,SCHW,0.06646202504634857,0.21552005410194397,349,unconnected
AMAT,DE,0.10752255469560623,0.044717252254486084,349,unconnected
AMAT,ETN,0.04793345928192139,0.3719794750213623,349,unconnected
AMAT,PFE,0.1003643348813057,0.06107315421104431,349,unconnected
AMAT,UNP,0.09293469041585922,0.08297325670719147,349,unconnected
AMAT,WELL,0.0910438746213913,0.08945760130882263,349,unconnected
AMAT,HON,0.09504677355289459,0.07618460059165955,349,unconnected
MS,UNH,0.5310086607933044,8.789402694682983e-27,349,unconnected
MS,MRK,0.2471393644809723,2.9673451535927597e-06,349,unconnected
MS,GS,0.9786664843559265,0.0,349,unconnected
MS,RTX,0.21345999836921692,5.822741150041111e-05,349,unconnected
MS,WFC,0.9391903877258301,0.0,349,unconnected
MS,PM,0.26666492223739624,4.2886236428785196e-07,349,unconnected
MS,IBM,0.6009795069694519,1.2134426432432852e-35,349,unconnected
MS,AXP,0.6988895535469055,0.0,349,unconnected
MS,C,0.9808968305587769,0.0,349,unconnected
MS,MCD,0.5466112494468689,1.4002613290588366e-28,349,unconnected
MS,PEP,0.3218326270580292,7.494163067889303e-10,349,unconnected
MS,TXN,0.19102808833122253,0.00033194577554240823,349,unconnected
MS,VZ,0.7554451823234558,0.0,349,unconnected
MS,AMGN,0.5329843759536743,5.26576787593675e-27,349,unconnected
MS,NEE,0.3274013102054596,3.6570391159784776e-10,349,unconnected
MS,T,0.6134142279624939,1.8738254990130714e-37,349,unconnected
MS,BA,0.6646735072135925,0.0,349,unconnected
MS,TJX,0.48751235008239746,3.101371938996578e-22,349,unconnected
MS,GILD,0.4608360230922699,9.447995564269594e-20,349,unconnected
MS,ABT,0.32585081458091736,4.4722123226925703e-10,349,unconnected
MS,SCHW,0.12234688550233841,0.022252921015024185,349,unconnected
MS,DE,0.6666277647018433,0.0,349,unconnected
MS,ETN,0.1391143649816513,0.009262449108064175,349,unconnected
MS,PFE,0.5690292119979858,2.4685924445658118e-31,349,unconnected
MS,UNP,0.6529931426048279,8.688050478813866e-44,349,unconnected
MS,WELL,0.3879798352718353,5.5363401580202365e-14,349,unconnected
MS,HON,0.6535916924476624,6.726232628759122e-44,349,unconnected
UNH,MRK,0.20745059847831726,9.455776307731867e-05,349,unconnected
UNH,GS,0.5225229263305664,7.641762765312402e-26,349,unconnected
UNH,RTX,0.2607872784137726,7.805246013958822e-07,349,unconnected
UNH,WFC,0.5244990587234497,4.6432808941519586e-26,349,unconnected
UNH,PM,0.3523379862308502,1.2256600248616856e-11,349,unconnected
UNH,IBM,0.6131515502929688,2.0503792403768095e-37,349,unconnected
UNH,AXP,0.5343651175498962,3.673545738943435e-27,349,unconnected
UNH,C,0.5066787004470825,3.6966881877043304e-24,349,unconnected
UNH,MCD,0.6113676428794861,3.77024261976411e-37,349,unconnected
UNH,PEP,0.2825489938259125,7.903754095650584e-08,349,unconnected
UNH,TXN,0.18738941848278046,0.0004325420886743814,349,unconnected
UNH,VZ,0.38624483346939087,7.314159315100627e-14,349,unconnected
UNH,AMGN,0.7360324859619141,0.0,349,unconnected
UNH,NEE,0.13191011548042297,0.013654409907758236,349,unconnected
UNH,T,0.2119007110595703,6.612072320422158e-05,349,unconnected
UNH,BA,0.1563197821378708,0.0034132953733205795,349,unconnected
UNH,TJX,0.3711549639701843,7.69608552234069e-13,349,unconnected
UNH,GILD,0.16953089833259583,0.0014789841370657086,349,unconnected
UNH,ABT,0.30028900504112244,1.0506932213161235e-08,349,unconnected
UNH,SCHW,0.20568042993545532,0.00010879128967644647,349,unconnected
UNH,DE,0.6878300905227661,0.0,349,unconnected
UNH,ETN,0.14364932477474213,0.0071899122558534145,349,unconnected
UNH,PFE,0.8270699381828308,0.0,349,unconnected
UNH,UNP,0.7722042798995972,0.0,349,unconnected
UNH,WELL,0.27127811312675476,2.653376895977999e-07,349,unconnected
UNH,HON,0.7494832873344421,0.0,349,unconnected
MRK,GS,0.2642219066619873,5.510301548383723e-07,349,unconnected
MRK,RTX,0.07949727773666382,0.13830001652240753,349,unconnected
MRK,WFC,0.2763202488422394,1.5538901720901777e-07,349,unconnected
MRK,PM,0.3255457580089569,4.652209728561729e-10,349,unconnected
MRK,IBM,0.202391117811203,0.0001407284871675074,349,unconnected
MRK,AXP,0.21131885051727295,6.931655661901459e-05,349,unconnected
MRK,C,0.25337472558021545,1.6274233303192887e-06,349,unconnected
MRK,MCD,0.19107189774513245,0.00033088118652813137,349,unconnected
MRK,PEP,0.08556267619132996,0.11057006567716599,349,unconnected
MRK,TXN,0.17325705289840698,0.0011552339419722557,349,unconnected
MRK,VZ,0.19551222026348114,0.0002379502257099375,349,unconnected
MRK,AMGN,0.21817556023597717,3.941854083677754e-05,349,unconnected
MRK,NEE,0.09579530358314514,0.07388974726200104,349,unconnected
MRK,T,0.26330119371414185,6.052317758076242e-07,349,unconnected
MRK,BA,0.20093540847301483,0.00015750534657854587,349,unconnected
MRK,TJX,0.24847784638404846,2.6118536879948806e-06,349,unconnected
MRK,GILD,0.0760699063539505,0.1561729460954666,349,unconnected
MRK,ABT,0.30051469802856445,1.0231484992573314e-08,349,unconnected
MRK,SCHW,0.21787317097187042,4.0427206840831786e-05,349,unconnected
MRK,DE,0.18179652094841003,0.0006436161929741502,349,unconnected
MRK,ETN,0.1383078396320343,0.009682181291282177,349,unconnected
MRK,PFE,0.19400662183761597,0.0002663104678504169,349,unconnected
MRK,UNP,0.22547005116939545,2.119719283655286e-05,349,unconnected
MRK,WELL,-0.023488935083150864,0.6618977189064026,349,unconnected
MRK,HON,0.22866596281528473,1.6047530152718537e-05,349,unconnected
GS,RTX,0.21805912256240845,3.9804283005651087e-05,349,unconnected
GS,WFC,0.9365698099136353,0.0,349,downstream
GS,PM,0.26973390579223633,3.119129701190104e-07,349,unconnected
GS,IBM,0.5913029909133911,2.751979900835049e-34,349,downstream
GS,AXP,0.6980745196342468,0.0,349,unconnected
GS,C,0.9673811197280884,0.0,349,unconnected
GS,MCD,0.5636991262435913,1.164789170789123e-30,349,unconnected
GS,PEP,0.31210431456565857,2.535051946139788e-09,349,unconnected
GS,TXN,0.17912329733371735,0.0007751446682959795,349,unconnected
GS,VZ,0.7471755146980286,0.0,349,unconnected
GS,AMGN,0.5358397364616394,2.496250763993767e-27,349,unconnected
GS,NEE,0.301018089056015,9.641954790140517e-09,349,unconnected
GS,T,0.6302588582038879,4.862533697176402e-40,349,unconnected
GS,BA,0.6653833389282227,0.0,349,unconnected
GS,TJX,0.4921475052833557,1.0898697793786866e-22,349,unconnected
GS,GILD,0.4637361466884613,5.1967095302238315e-20,349,unconnected
GS,ABT,0.3241865038871765,5.543493442061731e-10,349,unconnected
GS,SCHW,0.11065976321697235,0.038807015866041183,349,unconnected
GS,DE,0.6476922035217285,6.866362475191604e-43,349,downstream
GS,ETN,0.1398039162158966,0.008916536346077919,349,unconnected
GS,PFE,0.5567400455474854,8.468849614736459e-30,349,unconnected
GS,UNP,0.6388914585113525,1.9901240790341052e-41,349,unconnected
GS,WELL,0.38177722692489624,1.486936794395724e-13,349,unconnected
GS,HON,0.6375835537910461,3.2510124372335756e-41,349,unconnected
RTX,WFC,0.1874135583639145,0.00043178824125789106,349,unconnected
RTX,PM,0.2418896108865738,4.860698936681729e-06,349,unconnected
